"num_eventos,dia_semana,fecha",hora,mes_y_ano,anio,descripcion,lugar
"4 eventos, jueves, 4 de julio",10:15,Junio de 2024,2024,Encuentro Presidencial y XV Gabinete Binacional de Ministros Perú-Ecuador,N.A.
"4 eventos, jueves, 4 de julio",13:45,Junio de 2024,2024,Suscripción de la Declaración presidencial de Lima,Lugar: Palacio de Gobierno
"4 eventos, jueves, 4 de julio",18:00,Junio de 2024,2024,Promulgación de la ley que crea la Universidad Nacional Fronteriza Autónoma de Yunguyo en Puno,Lugar: Palacio de Gobierno.
"1 evento, viernes, 5 de julio",10:00,Junio de 2024,2024,41,° Aniversario de la Dirección contra el Terrorismo de la Policía Nacional del Perú. Lugar: Club AOPIP - Santiago de Surco.
"1 evento, sábado, 6 de julio",07:00,Junio de 2024,2024,Mensaje por el Día del Maestro,Lugar: Palacio de Gobierno
"1 evento, domingo, 28 de abril",N.A.,Mayo de 2024,2024,No hubo actividades oficiales que registrar,N.A.
"2 eventos, lunes, 29 de abril",16:00,Mayo de 2024,2024,Entrega de carnets de Conadis,Lugar: Palacio de Gobierno.
"2 eventos, lunes, 29 de abril",18:30,Mayo de 2024,2024,Ceremonia por el 75,° aniversario del Ministerio de Trabajo y Promoción del Empleo. Lugar: San Borja..
"2 eventos, martes, 30 de abril",10:15,Mayo de 2024,2024,Sesión del Consejo de Ministros,Lugar: Palacio de Gobierno.
"2 eventos, martes, 30 de abril",13:00,Mayo de 2024,2024,Ceremonia de suscripción del contrato de Estado a Estado para el servicio de asistencia técnica del Proyecto Chavimochic Tercera Etapa,Lugar: Palacio de Gobierno.
"2 eventos, miércoles, 1 de mayo",09:50,Mayo de 2024,2024,Ceremonia de condecoración de la Orden del Trabajo 2024,Lugar: Palacio de Gobierno.
"2 eventos, miércoles, 1 de mayo",11:45,Mayo de 2024,2024,Saludo de la presidenta Dina Boluarte con motivo del Día Internacional del Trabajador,Lugar: Palacio de Gobierno.
"1 evento, jueves, 2 de mayo",12:00,Mayo de 2024,2024,Homenaje por el Día de la Mujer Policía,"Lugar: Ministerio del Interior, San Isidro."
"2 eventos, viernes, 3 de mayo",12:30,Mayo de 2024,2024,"Reunión con el gobernador regional de Lambayeque, congresistas de la región, y funcionarios del Ejecutivo",Lugar: Palacio de Gobierno.
"2 eventos, viernes, 3 de mayo",13:30,Mayo de 2024,2024,Reunión con el gobernador Regional de Piura,Lugar: Palacio de Gobierno.
"1 evento, sábado, 4 de mayo",N.A.,Mayo de 2024,2024,No hubo actividades oficiales que registrar,N.A.
"1 evento, domingo, 5 de mayo",N.A.,Mayo de 2024,2024,No hubo actividades oficiales que registrar,N.A.
"2 eventos, lunes, 6 de mayo",09:00,Mayo de 2024,2024,"Audiencia con la directora general de la Organización Mundial del Comercio (OMC), Ngozi Okonjo-Iweala",Lugar: Palacio de Gobierno.
"2 eventos, lunes, 6 de mayo",10:00,Mayo de 2024,2024,"Encuentro con mujeres emprendedoras y la directora general de la Organización Mundial del Comercio (OMC), Ngozi Okonjo-Iweala",Lugar: Palacio de Gobierno.
"4 eventos, martes, 7 de mayo",11:00,Mayo de 2024,2024,"Reunión con gobernador regional de Arequipa, participó también el ministro de Energía y Minas y funcionarios del Ejecutivo",Lugar: Palacio de Gobierno.
"4 eventos, martes, 7 de mayo",12:00,Mayo de 2024,2024,Reconocimiento a los medallistas de los Juegos Bolivarianos de la Juventud 2024,Lugar: Estadio Nacional.
"4 eventos, martes, 7 de mayo",16:00,Mayo de 2024,2024,"Llamada con el presidente electo de Panamá, José Raúl Mulino",Lugar: Palacio de Gobierno.
"4 eventos, martes, 7 de mayo",17:00,Mayo de 2024,2024,Reunión con los alcaldes de la Mancomunidad Municipal del Callao,Lugar: Palacio de Gobierno.
"3 eventos, miércoles, 8 de mayo",09:00,Mayo de 2024,2024,Sesión del Consejo de Ministros,Lugar: Palacio de Gobierno.
"3 eventos, miércoles, 8 de mayo",11:00,Mayo de 2024,2024,Reunión con representantes de la Cámara Peruana del Libro,Lugar: Palacio de Gobierno.
"3 eventos, miércoles, 8 de mayo",15:00,Mayo de 2024,2024,Ceremonia de presentación de cartas credenciales de embajadores residentes de Argentina y España,Lugar: Palacio de Gobierno.
"1 evento, jueves, 9 de mayo",N.A.,Mayo de 2024,2024,No hubo actividades oficiales que registrar,N.A.
"2 eventos, viernes, 10 de mayo",08:30,Mayo de 2024,2024,"Inauguración del “Seminario Internacional: Constitución Política, Democracia y Valores Institucionales”","Lugar: Auditorio “Los Incas” del Ministerio de Cultura, San Borja."
"2 eventos, viernes, 10 de mayo",14:00,Mayo de 2024,2024,Suscripción de convenio de cooperación interinstitucional entre el Minedu y Minsa,Lugar: Palacio de Gobierno.
"1 evento, sábado, 11 de mayo",N.A.,Mayo de 2024,2024,No hubo actividades oficiales que registrar,N.A.
"1 evento, domingo, 12 de mayo",N.A.,Mayo de 2024,2024,No hubo actividades oficiales que registrar,N.A.
"1 evento, lunes, 13 de mayo",12:00,Mayo de 2024,2024,"Reunión con representantes de la Sociedad Nacional de Minería, Petróleo y Energía (SNMPE), además participó el ministro de Energía y Minas",Lugar: Palacio de Gobierno.
